"null","Sourced","Placed","References","Value","Footprint","Quantity"
55,"✓","","IC22, IC27, IC36","LT5560","WSON-8-1EP_3x3mm_P0.5mm_EP1.45x2.4mm",3
56,"✓","","IC23, IC28, IC32","THS4521IDGKR","VSSOP-8_3.0x3.0mm_P0.65mm",3
57,"✓","","IC24, IC29, IC33","ADL5801","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",3
58,"✓","","IC25, IC30, IC34","NCP702-1.8","SOT-23-5",3
59,"✓","","IC26, IC31, IC35","MCP33131D-10-E/MS","VSSOP-10_3x3mm_P0.5mm",3
60,"✓","","T1, T2, T3","B012-617DB-1-63-B331","EASTEVER_BALUN",3
61,"✓","✓","IC8, IC19","AP2114H","SOT-223-3_TabPin2",2
62,"✓","","IC9, IC20","NCP702-3.3","SOT-23-5",2
63,"","","IC10, IC21","MAX2871","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",2
64,"✓","","IC11, IC12","RFSW6042","QFN40P180X180X55-13T76N",2
65,"✓","✓","Q1, Q2","SSM3J338R","SOT-23",2
66,"✓","","IC1","MIC2253","DFN-12-1EP_3x3mm_P0.45mm_EP1.66x2.38mm",1
67,"✓","✓","IC2","LM3370","DFN-16-1EP_4x5mm_P0.5mm_EP2.44x4.34mm",1
68,"✓","","IC7","SI5351C","QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",1
69,"✓","","IC14","RFSA3714","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",1
70,"✓","✓","IC15","TRF37A73","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",1
71,"✓","","IC37","STM32G431CB","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",1
72,"✓","✓","JP1","DNP","PinHeader_1x10_P2.54mm_Horizontal",1
73,"✓","✓","JP2","DNP","PinHeader_2x10_P2.54mm_Vertical",1
74,"✓","","LP1","LP0603A-0947","FILTRDFN160X84X70-4N",1
75,"✓","","LP2","LP0603A-3500","FILTRDFN160X84X70-4N",1
76,"✓","","LP3","LP0603A-1880","FILTRDFN160X84X70-4N",1
77,"","","N1","Top Cover","VNA_COVER_TOP",1
78,"✓","","J2, J3","SMA","BU-1420701851",2
79,"✓","✓","J1","PJ-014D","PJ-014D",1
80,"✓","✓","J4","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",1
