Frequency,Port1,Port2,
4999500000,1.513360075e-06,0.0001812679548,
4999501000,1.979116632e-06,0.0002128594788,
4999502000,1.340454332e-06,0.000222300092,
4999503000,1.226206336e-06,0.0001259127021,
4999504000,1.123140464e-06,0.0002127806802,
4999505000,1.941930122e-06,0.0002434307826,
4999506000,1.712842732e-06,0.0002499943657,
4999507000,2.592412557e-06,0.000136094488,
4999508000,1.686951123e-06,0.0001718624844,
4999509000,1.174191652e-06,0.0003284125996,
4999510000,1.972939799e-06,0.000181313706,
4999511000,1.551906053e-06,0.0001633110805,
4999512000,1.376431783e-06,0.0002562346344,
4999513000,1.633031047e-06,0.0002699169854,
4999514000,1.378204843e-06,0.0002374303149,
4999515000,2.7241515e-06,0.0003231113369,
4999516000,1.732651299e-06,0.0002072128991,
4999517000,2.65866538e-06,0.0001313267567,
4999518000,2.113135679e-06,0.0001412697893,
4999519000,2.578208523e-06,0.0001285923063,
4999520000,1.397231927e-06,0.0003702848626,
4999521000,1.641939662e-06,0.000186966703,
4999522000,3.18671664e-06,0.0003040638112,
4999523000,1.316437761e-06,0.0002206799691,
4999524000,1.284739824e-06,0.0002498682588,
4999525000,1.713886491e-06,0.0003029345244,
4999526000,1.406531624e-06,0.0002641220635,
4999527000,1.315362965e-06,0.0001983837865,
4999528000,1.575426836e-06,0.0001752438402,
4999529000,3.094857448e-06,0.0001757888967,
4999530000,1.731735438e-06,0.0002337930055,
4999531000,1.493468972e-06,0.0001853387803,
4999532000,1.278165769e-06,0.0003259911027,
4999533000,1.881045705e-06,0.0002334484889,
4999534000,1.666908474e-06,0.0002647659858,
4999535000,1.442095595e-06,0.0002124643506,
4999536000,1.653132017e-06,0.0001694301463,
4999537000,1.452852644e-06,0.0002238838788,
4999538000,1.148349838e-06,0.000222252027,
4999539000,1.438639629e-06,0.0001332597894,
4999540000,1.168995823e-06,0.000248539669,
4999541000,2.586702294e-06,0.0002322412038,
4999542000,1.812475944e-06,0.0002592957462,
4999543000,2.155780749e-06,0.0002080163249,
4999544000,1.89161733e-06,0.000173144057,
4999545000,1.777838179e-06,0.0002971489739,
4999546000,1.814296184e-06,0.0003725195129,
4999547000,1.343346298e-06,0.000233230312,
4999548000,1.332678607e-06,0.0001498337951,
4999549000,1.501607244e-06,0.0001803474443,
4999550000,1.629070539e-06,0.0002507885511,
4999551000,1.11178781e-06,0.0001598214003,
4999552000,1.801846224e-06,0.0002974439121,
4999553000,1.596961738e-06,0.0002371013397,
4999554000,1.618168881e-06,0.0002031281329,
4999555000,1.470384518e-06,0.0002616635757,
4999556000,2.239395371e-06,0.0002415123454,
4999557000,1.657701318e-06,0.0001659643312,
4999558000,2.069844868e-06,0.0002183760662,
4999559000,1.562455054e-06,0.0002867302392,
4999560000,1.473729071e-06,0.0002206458303,
4999561000,1.782680897e-06,0.0001752394601,
4999562000,2.784457365e-06,0.0001351389801,
4999563000,2.53760777e-06,0.0002171959059,
4999564000,1.775881401e-06,0.0002295302256,
4999565000,1.649334763e-06,0.0002498387184,
4999566000,1.060946374e-06,0.0001512414165,
4999567000,2.425866796e-06,0.0002935034281,
4999568000,1.2230945e-06,0.0001425198861,
4999569000,1.607738e-06,0.0001793369884,
4999570000,1.088410954e-06,0.0001078511996,
4999571000,1.03594823e-06,0.000213879699,
4999572000,1.533103841e-06,0.0002455478825,
4999573000,1.274992087e-06,0.0002181864547,
4999574000,9.82032816e-07,0.0002790134458,
4999575000,1.67325129e-06,0.000283617992,
4999576000,1.63633365e-06,0.0001990823512,
4999577000,1.303225758e-06,0.0002635680721,
4999578000,1.683399205e-06,0.0003136994201,
4999579000,1.434131491e-06,0.0001328378858,
4999580000,1.517272267e-06,0.0003966314544,
4999581000,1.806721571e-06,0.0002221315517,
4999582000,1.964556986e-06,0.0002171669621,
4999583000,2.278742159e-06,0.0001807842491,
4999584000,1.011129712e-06,0.0001944425749,
4999585000,1.51748975e-06,0.0003042756871,
4999586000,1.632986937e-06,0.0001538465585,
4999587000,1.201154873e-06,0.0001952164166,
4999588000,1.501302449e-06,0.000182105985,
4999589000,2.197529284e-06,0.0001702159643,
4999590000,1.006755269e-06,0.000158358831,
4999591000,1.896560207e-06,0.0002445175778,
4999592000,2.285601795e-06,0.0003188767587,
4999593000,8.491614381e-07,0.0001168233939,
4999594000,1.657885377e-06,0.0002344268869,
4999595000,2.312177457e-06,0.0001993567857,
4999596000,1.514252403e-06,0.0001583935227,
4999597000,2.045678229e-06,0.0002519856207,
4999598000,2.403677627e-06,0.0001600819087,
4999599000,2.802590188e-06,0.0002920199477,
4999600000,1.849161208e-06,0.000284014357,
4999601000,1.677173827e-06,0.0002487375459,
4999602000,1.30359615e-06,0.0002529846097,
4999603000,2.317851795e-06,0.0002917533275,
4999604000,1.63701327e-06,0.0002598934516,
4999605000,1.682635684e-06,0.0001750744559,
4999606000,1.877251748e-06,0.0001942250092,
4999607000,2.007912826e-06,0.0001720996515,
4999608000,1.158865416e-06,0.0001670256752,
4999609000,1.912894049e-06,0.0001678525732,
4999610000,1.818847636e-06,0.0002143430465,
4999611000,2.21360051e-06,0.0001522248931,
4999612000,1.47678486e-06,0.0001221166312,
4999613000,1.865017225e-06,0.0002053931239,
4999614000,1.822766308e-06,0.0001076723493,
4999615000,2.40260556e-06,0.000260031753,
4999616000,1.922447609e-06,0.0002398052311,
4999617000,1.943647476e-06,0.0002681771293,
4999618000,2.733263273e-06,9.386380407e-05,
4999619000,1.604267936e-06,0.0002353830496,
4999620000,1.690066142e-06,0.0002558090782,
4999621000,1.432034082e-06,0.0002081300772,
4999622000,1.565742537e-06,0.0002063743741,
4999623000,1.23932216e-06,0.0001225595624,
4999624000,1.494268759e-06,0.0001834298309,
4999625000,1.079933668e-06,0.0001707481715,
4999626000,1.995922958e-06,0.0001181956686,
4999627000,1.464249635e-06,0.0001303234167,
4999628000,1.716142378e-06,0.000240603229,
4999629000,1.71978752e-06,0.0002442850091,
4999630000,1.648506441e-06,0.0001537532225,
4999631000,1.027738449e-06,0.000176765403,
4999632000,1.9991503e-06,0.0002047240559,
4999633000,1.994280865e-06,0.0001399378089,
4999634000,1.918647968e-06,0.0001394951832,
4999635000,2.806895054e-06,0.0001520344522,
